Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0001mjf,diary,5,6,1914-10-04 00:00:00 UTC,4 Oct 1914,"","[0.0, 0.0]","",diaryDate,4 Oct 1914,"{""day""=>[""4""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0001mjf,diary,5,5,1914-10-04 00:00:00 UTC,4 Oct 1914,lyndhurst,"[-1.57662, 50.87259]","",place,lyndhurst,"{""place""=>[""lyndhurst""], ""location""=>[""true""], ""name""=>[""Lyndhurst""], ""lat""=>[""50.87259""], ""long""=>[""-1.57662""], ""id""=>[""2643304""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
6,AWD0001mjf,diary,5,2,1914-10-04 17:00:00 UTC,4 Oct 1914,lyndhurst,"[-1.57662, 50.87259]",0500PM,time,0500PM,{},2643304,Lyndhurst,"[-1.57662, 50.87259]"
7,AWD0001mjf,diary,5,3,1914-10-04 17:00:00 UTC,4 Oct 1914,lyndhurst,"[-1.57662, 50.87259]",0500PM,place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""false""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
8,AWD0001mjf,diary,5,8,1914-10-04 17:00:00 UTC,4 Oct 1914,lyndhurst,"[-1.57662, 50.87259]",0500PM,activity,movement,{},2643304,Lyndhurst,"[-1.57662, 50.87259]"
9,AWD0001mjf,diary,5,4,1914-10-04 18:50:00 UTC,4 Oct 1914,lyndhurst,"[-1.57662, 50.87259]",0650PM,time,0650PM,{},2643304,Lyndhurst,"[-1.57662, 50.87259]"
11,AWD0001mjf,diary,5,2,1914-10-04 23:00:00 UTC,4 Oct 1914,lyndhurst,"[-1.57662, 50.87259]",1100PM,time,1100PM,{},2643304,Lyndhurst,"[-1.57662, 50.87259]"
14,AWD0001mjf,diary,5,7,1914-10-05 00:00:00 UTC,5 Oct 1914,lyndhurst,"[-1.57662, 50.87259]","",diaryDate,5 Oct 1914,"{""day""=>[""5""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
15,AWD0001mjf,diary,5,4,1914-10-05 01:00:00 UTC,5 Oct 1914,lyndhurst,"[-1.57662, 50.87259]",0100AM,time,0100AM,{},2643304,Lyndhurst,"[-1.57662, 50.87259]"
16,AWD0001mjf,diary,5,2,1914-10-05 01:00:00 UTC,5 Oct 1914,"At Sea, at sea","[-1.57662, 50.87259]",0100AM,place,"At Sea, at sea","{""place""=>[""At Sea"", ""at sea""], ""location""=>[""true""], ""name""=>["""", ""Lyndhurst""], ""lat""=>["""", ""50.87259""], ""long""=>["""", ""-1.57662""], ""id""=>["""", ""2643304""]}",,,
17,AWD0001mjf,diary,5,5,1914-10-05 01:00:00 UTC,5 Oct 1914,"At Sea, at sea","[-1.57662, 50.87259]",0100AM,activity,movement,{},,,
18,AWD0001mjf,diary,5,7,1914-10-05 01:00:00 UTC,5 Oct 1914,"At Sea, at sea","[-1.57662, 50.87259]",0100AM,person,Lieutenant Colonel A T Moore,"{""first""=>[""A T""], ""surname""=>[""Moore""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",,,
20,AWD0001mjf,diary,5,3,1914-10-05 19:30:00 UTC,5 Oct 1914,"At Sea, at sea","[-1.57662, 50.87259]",0730PM,time,0730PM,{},,,
21,AWD0001mjf,diary,5,4,1914-10-05 19:30:00 UTC,5 Oct 1914,"At Sea, at sea","[-1.57662, 50.87259]",0730PM,place,Beachy Head,"{""place""=>[""Beachy Head""], ""location""=>[""false"", ""true""], ""name""=>[""Beachy Head""], ""lat""=>[""50.73743""], ""long""=>[""0.24768""], ""id""=>[""2656125""]}",,,
23,AWD0001mjf,diary,5,3,1914-10-05 16:30:00 UTC,5 Oct 1914,"At Sea, at sea","[-1.57662, 50.87259]",0430PM,time,0430PM,{},,,
24,AWD0001mjf,diary,5,3,1914-10-05 16:30:00 UTC,5 Oct 1914,"At Sea, at sea","[-1.57662, 50.87259]",0430PM,place,Dungeness,"{""place""=>[""Dungeness""], ""location""=>[""false""], ""name""=>[""Dungeness""], ""lat""=>[""50.91277""], ""long""=>[""0.98019""], ""id""=>[""2650728""]}",,,
27,AWD0001mjf,diary,5,2,1914-10-05 20:00:00 UTC,5 Oct 1914,"At Sea, at sea","[-1.57662, 50.87259]",0800PM,time,0800PM,{},,,
28,AWD0001mjf,diary,5,2,1914-10-05 21:00:00 UTC,5 Oct 1914,"At Sea, at sea","[-1.57662, 50.87259]",0900PM,time,0900PM,{},,,
31,AWD0001mjf,diary,5,5,1914-10-05 21:00:00 UTC,5 Oct 1914,"At Sea, at sea","[-1.57662, 50.87259]",0900PM,place,Dover,"{""place""=>[""Dover""], ""location""=>[""false""], ""name""=>[""Dover"", """"], ""lat""=>[""51.13333"", """"], ""long""=>[""1.3"", """"], ""id""=>[""2651048"", """"]}",,,
32,AWD0001mjf,diary,5,7,1914-10-06 00:00:00 UTC,6 Oct 1914,"At Sea, at sea","[-1.57662, 50.87259]","",diaryDate,6 Oct 1914,"{""day""=>[""6""], ""month""=>[""Oct""], ""year""=>[""1914""]}",,,
36,AWD0001mjf,diary,5,3,1914-10-06 00:00:00 UTC,6 Oct 1914,"At Sea, at sea","[-1.57662, 50.87259]","",activity,movement,{},,,
37,AWD0001mjf,diary,5,3,1914-10-06 00:00:00 UTC,6 Oct 1914,"At Sea, at sea","[-1.57662, 50.87259]","",place,dover,"{""place""=>[""dover""], ""location""=>[""false""], ""name""=>[""Dover""], ""lat""=>[""51.13333""], ""long""=>[""1.3""], ""id""=>[""2651048""]}",,,
40,AWD0001mjf,diary,5,3,1914-10-06 00:00:00 UTC,6 Oct 1914,Dover,"[1.3, 51.13333]","",place,Dover,"{""place""=>[""Dover""], ""location""=>[""true""], ""name""=>[""Dover""], ""lat""=>[""51.13333""], ""long""=>[""1.3""], ""id""=>[""2651048""]}",2651048,Dover,"[1.3, 51.13333]"
42,AWD0001mjf,diary,5,3,1914-10-06 00:00:00 UTC,6 Oct 1914,Dover,"[1.3, 51.13333]","",place,Zeebrugge,"{""place""=>[""Zeebrugge""], ""location""=>[""false""], ""name""=>[""Zeebrugge""], ""lat""=>[""51.32902""], ""long""=>[""3.18188""], ""id""=>[""2783307""]}",2651048,Dover,"[1.3, 51.13333]"
44,AWD0001mjf,diary,5,3,1914-10-06 09:00:00 UTC,6 Oct 1914,Dover,"[1.3, 51.13333]",0900AM,time,0900AM,{},2651048,Dover,"[1.3, 51.13333]"
45,AWD0001mjf,diary,5,5,1914-10-06 21:30:00 UTC,6 Oct 1914,Dover,"[1.3, 51.13333]",0930PM,time,0930PM,{},2651048,Dover,"[1.3, 51.13333]"
1,AWD0001mkq,diary,6,7,1914-10-07 00:00:00 UTC,7 Oct 1914,Dover,"[1.3, 51.13333]","",diaryDate,7 Oct 1914,"{""day""=>[""7""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2651048,Dover,"[1.3, 51.13333]"
4,AWD0001mkq,diary,6,4,1914-10-07 00:00:00 UTC,7 Oct 1914,zeebrugge,"[3.18188, 51.32902]","",place,zeebrugge,"{""place""=>[""zeebrugge""], ""location""=>[""true""], ""name""=>[""Zeebrugge""], ""lat""=>[""51.32902""], ""long""=>[""3.18188""], ""id""=>[""2783307""]}",2783307,Zeebrugge,"[3.18188, 51.32902]"
6,AWD0001mkq,diary,6,2,1914-10-07 00:00:00 UTC,7 Oct 1914,"Zeeburgge, Zeebrugge","[0.0, 0.0]","",place,"Zeeburgge, Zeebrugge","{""place""=>[""Zeeburgge"", ""Zeebrugge""], ""location""=>[""true""], ""name""=>[""Dover"", ""Zeebrugge Port""], ""lat""=>[""51.13333"", ""51.33447""], ""long""=>[""1.3"", ""3.20578""], ""id""=>[""2651048"", ""9253600""]}",2783307,Zeebrugge,"[3.18188, 51.32902]"
7,AWD0001mkq,diary,6,4,1914-10-07 07:00:00 UTC,7 Oct 1914,"Zeeburgge, Zeebrugge","[0.0, 0.0]",0700AM,time,0700AM,{},2783307,Zeebrugge,"[3.18188, 51.32902]"
8,AWD0001mkq,diary,6,3,1914-10-07 07:00:00 UTC,7 Oct 1914,"Zeeburgge, Zeebrugge","[0.0, 0.0]",0700AM,activity,movement,{},2783307,Zeebrugge,"[3.18188, 51.32902]"
10,AWD0001mkq,diary,6,3,1914-10-07 07:00:00 UTC,7 Oct 1914,"Zeeburgge, Zeebrugge","[0.0, 0.0]",0700AM,activity,movement,{},2783307,Zeebrugge,"[3.18188, 51.32902]"
11,AWD0001mkq,diary,6,4,1914-10-07 13:00:00 UTC,7 Oct 1914,"Zeeburgge, Zeebrugge","[0.0, 0.0]",0100PM,time,0100PM,{},2783307,Zeebrugge,"[3.18188, 51.32902]"
12,AWD0001mkq,diary,6,4,1914-10-07 13:00:00 UTC,7 Oct 1914,"Zeeburgge, Zeebrugge","[0.0, 0.0]",0100PM,activity,movement,{},2783307,Zeebrugge,"[3.18188, 51.32902]"
14,AWD0001mkq,diary,6,5,1914-10-07 13:00:00 UTC,7 Oct 1914,Bruges,"[3.22424, 51.20892]",0100PM,place,Bruges,"{""place""=>[""Bruges""], ""location""=>[""true""], ""name""=>[""Brugge""], ""lat""=>[""51.20892""], ""long""=>[""3.22424""], ""id""=>[""2800931""]}",2800931,Brugge,"[3.22424, 51.20892]"
16,AWD0001mkq,diary,6,4,1914-10-07 20:00:00 UTC,7 Oct 1914,Bruges,"[3.22424, 51.20892]",0800PM,time,0800PM,{},2800931,Brugge,"[3.22424, 51.20892]"
17,AWD0001mkq,diary,6,3,1914-10-07 20:00:00 UTC,7 Oct 1914,Bruges,"[3.22424, 51.20892]",0800PM,domestic,accomodation,{},2800931,Brugge,"[3.22424, 51.20892]"
21,AWD0001mkq,diary,6,3,1914-10-07 02:30:00 UTC,7 Oct 1914,Bruges,"[3.22424, 51.20892]",0230AM,time,0230AM,{},2800931,Brugge,"[3.22424, 51.20892]"
23,AWD0001mkq,diary,6,2,1914-10-07 07:30:00 UTC,7 Oct 1914,Bruges,"[3.22424, 51.20892]",0730AM,time,0730AM,{},2800931,Brugge,"[3.22424, 51.20892]"
25,AWD0001mkq,diary,6,6,1914-10-08 00:00:00 UTC,8 Oct 1914,Bruges,"[3.22424, 51.20892]","",diaryDate,8 Oct 1914,"{""day""=>[""8""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2800931,Brugge,"[3.22424, 51.20892]"
27,AWD0001mkq,diary,6,3,1914-10-08 00:00:00 UTC,8 Oct 1914,Bruges,"[3.22424, 51.20892]","",activity,movement,{},2800931,Brugge,"[3.22424, 51.20892]"
28,AWD0001mkq,diary,6,4,1914-10-08 14:00:00 UTC,8 Oct 1914,Bruges,"[3.22424, 51.20892]",0200PM,time,0200PM,{},2800931,Brugge,"[3.22424, 51.20892]"
30,AWD0001mkq,diary,6,5,1914-10-08 14:00:00 UTC,8 Oct 1914,Ostend,"[2.91185, 51.22339]",0200PM,place,Ostend,"{""place""=>[""Ostend""], ""location""=>[""true""], ""name""=>[""Oostende""], ""lat""=>[""51.22339""], ""long""=>[""2.91185""], ""id""=>[""2789786""]}",2797656,Gent,"[3.71667, 51.05]"
34,AWD0001mkq,diary,6,2,1914-10-08 14:00:00 UTC,8 Oct 1914,Ostend,"[2.91185, 51.22339]",0200PM,domestic,accomodation,{},2797656,Gent,"[3.71667, 51.05]"
35,AWD0001mkq,diary,6,3,1914-10-08 23:00:00 UTC,8 Oct 1914,Ostend,"[2.91185, 51.22339]",1100PM,time,1100PM,{},2797656,Gent,"[3.71667, 51.05]"
36,AWD0001mkq,diary,6,2,1914-10-08 23:00:00 UTC,8 Oct 1914,Ostend,"[2.91185, 51.22339]",1100PM,activity,movement,{},2797656,Gent,"[3.71667, 51.05]"
37,AWD0001mkq,diary,6,6,1914-10-08 23:00:00 UTC,8 Oct 1914,Ostend,"[2.91185, 51.22339]",1100PM,place,Ghent,"{""place""=>[""Ghent""], ""location""=>[""false""], ""name""=>[""Gent""], ""lat""=>[""51.05""], ""long""=>[""3.71667""], ""id""=>[""2797656""]}",2797656,Gent,"[3.71667, 51.05]"
1,AWD0001mna,diary,7,2,1914-10-12 00:00:00 UTC,12 Oct 1914,Ostend,"[2.91185, 51.22339]","",diaryDate,12 Oct 1914,"{""day""=>[""12""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2797656,Gent,"[3.71667, 51.05]"
2,AWD0001mna,diary,7,2,1914-10-12 00:00:00 UTC,12 Oct 1914,Ostend,"[2.91185, 51.22339]","",place,"Bellem, Belgium","{""place""=>[""Bellem, Belgium""], ""location""=>[""true"", ""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2797656,Gent,"[3.71667, 51.05]"
3,AWD0001mna,diary,7,5,1914-10-12 00:00:00 UTC,12 Oct 1914,Bellem,"[3.49277, 51.09403]","",place,Bellem,"{""place""=>[""Bellem""], ""location""=>[""true""], ""name""=>[""Bellem""], ""lat""=>[""51.09403""], ""long""=>[""3.49277""], ""id""=>[""2802327""]}",,,
4,AWD0001mna,diary,7,4,1914-10-12 00:00:00 UTC,12 Oct 1914,Bellem,"[3.49277, 51.09403]","",activity,movement,{},,,
7,AWD0001mna,diary,7,2,1914-10-12 00:00:00 UTC,12 Oct 1914,Bellem,"[3.49277, 51.09403]","",activity,resting,{},,,
8,AWD0001mna,diary,7,2,1914-10-12 00:00:00 UTC,12 Oct 1914,Bellem,"[3.49277, 51.09403]","",place,"Ghent, Belgium, Thielt, Belgium","{""place""=>[""Ghent, Belgium"", ""Thielt, Belgium""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
9,AWD0001mna,diary,7,8,1914-10-12 00:00:00 UTC,12 Oct 1914,"Ghent, Thielt","[0.0, 0.0]","",place,"Ghent, Thielt","{""place""=>[""Ghent"", ""Thielt""], ""location""=>[""true""], ""name""=>[""Tielt""], ""lat""=>[""51.05"", ""50.99931""], ""long""=>[""3.71667"", ""3.32707""], ""id""=>[""2797656"", ""2785476""]}",2797656,Gent,"[3.71667, 51.05]"
11,AWD0001mna,diary,7,7,1914-10-13 00:00:00 UTC,13 Oct 1914,"Ghent, Thielt","[0.0, 0.0]","",diaryDate,13 Oct 1914,"{""day""=>[""13""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2797656,Gent,"[3.71667, 51.05]"
14,AWD0001mna,diary,7,4,1914-10-13 00:00:00 UTC,13 Oct 1914,"Ghent, Thielt","[0.0, 0.0]","",activity,movement,{},2797656,Gent,"[3.71667, 51.05]"
16,AWD0001mna,diary,7,3,1914-10-13 00:00:00 UTC,13 Oct 1914,Roulers,"[3.12269, 50.94653]","",place,Roulers,"{""place""=>[""Roulers""], ""location""=>[""true""], ""name""=>[""Roeselare""], ""lat""=>[""50.94653""], ""long""=>[""3.12269""], ""id""=>[""2787889""]}",2787889,Roeselare,"[3.12269, 50.94653]"
19,AWD0001mna,diary,7,4,1914-10-13 00:00:00 UTC,13 Oct 1914,Roulers,"[3.12269, 50.94653]","",place,"ardoye, Ardoye","{""place""=>[""ardoye"", ""Ardoye""], ""location""=>[""true"", ""false""], ""name""=>[""Ardooie""], ""lat""=>[""50.9757""], ""long""=>[""3.19736""], ""id""=>[""2803091""]}",2787889,Roeselare,"[3.12269, 50.94653]"
21,AWD0001mna,diary,7,2,1914-10-13 00:00:00 UTC,13 Oct 1914,Roulers,"[3.12269, 50.94653]","",activity,resting,{},2787889,Roeselare,"[3.12269, 50.94653]"
22,AWD0001mna,diary,7,2,1914-10-13 00:00:00 UTC,13 Oct 1914,Roulers,"[3.12269, 50.94653]","",domestic,accomodation,{},2787889,Roeselare,"[3.12269, 50.94653]"
23,AWD0001mna,diary,7,4,1914-10-14 00:00:00 UTC,14 Oct 1914,Roulers,"[3.12269, 50.94653]","",diaryDate,14 Oct 1914,"{""day""=>[""14""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2787889,Roeselare,"[3.12269, 50.94653]"
24,AWD0001mna,diary,7,2,1914-10-14 00:00:00 UTC,14 Oct 1914,Roulers,"[3.12269, 50.94653]","",place,"Ypres, Belgium","{""place""=>[""Ypres, Belgium""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2787889,Roeselare,"[3.12269, 50.94653]"
25,AWD0001mna,diary,7,3,1914-10-14 00:00:00 UTC,14 Oct 1914,Roulers,"[3.12269, 50.94653]","",diaryDate,14 Oct 1914,"{""day""=>[""14""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2787889,Roeselare,"[3.12269, 50.94653]"
26,AWD0001mna,diary,7,5,1914-10-14 00:00:00 UTC,14 Oct 1914,Roulers,"[3.12269, 50.94653]","",activity,movement,{},2787889,Roeselare,"[3.12269, 50.94653]"
27,AWD0001mna,diary,7,5,1914-10-14 00:00:00 UTC,14 Oct 1914,Ypres,"[0.0, 0.0]","",place,Ypres,"{""place""=>[""Ypres""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2788559,Proven,"[2.65721, 50.88976]"
34,AWD0001mna,diary,7,7,1914-10-15 00:00:00 UTC,15 Oct 1914,Ypres,"[0.0, 0.0]","",diaryDate,15 Oct 1914,"{""day""=>[""15""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2788559,Proven,"[2.65721, 50.88976]"
36,AWD0001mna,diary,7,3,1914-10-15 00:00:00 UTC,15 Oct 1914,Ypres,"[0.0, 0.0]","",place,Ypres,"{""place""=>[""Ypres""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2788559,Proven,"[2.65721, 50.88976]"
4,AWD0001mhv,diary,8,2,1914-10-15 00:00:00 UTC,15 Oct 1914,Ypres,"[0.0, 0.0]","",place,"Dunkirk, dunkirk","{""place""=>[""Dunkirk"", ""dunkirk""], ""location""=>[""true"", ""false""], ""name""=>["""", ""Dunkerque""], ""lat""=>["""", ""51.03297""], ""long""=>["""", ""2.377""], ""id""=>["""", ""3020686""]}",2788559,Proven,"[2.65721, 50.88976]"
5,AWD0001mhv,diary,8,7,1914-10-16 00:00:00 UTC,16 Oct 1914,Ypres,"[0.0, 0.0]","",diaryDate,16 Oct 1914,"{""day""=>[""16""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2788559,Proven,"[2.65721, 50.88976]"
6,AWD0001mhv,diary,8,2,1914-10-16 00:00:00 UTC,16 Oct 1914,Ypres,"[0.0, 0.0]","",activity,movement,{},2788559,Proven,"[2.65721, 50.88976]"
7,AWD0001mhv,diary,8,4,1914-10-16 05:00:00 UTC,16 Oct 1914,Ypres,"[0.0, 0.0]",0500AM,time,0500AM,{},2788559,Proven,"[2.65721, 50.88976]"
18,AWD0001mhv,diary,8,3,1914-10-16 05:00:00 UTC,16 Oct 1914,Ypres,"[0.0, 0.0]",0500AM,activity,construction,{},2788559,Proven,"[2.65721, 50.88976]"
21,AWD0001mhv,diary,8,2,1914-10-16 05:00:00 UTC,16 Oct 1914,Ypres,"[0.0, 0.0]",0500AM,place,Ypres,"{""place""=>[""Ypres""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2788559,Proven,"[2.65721, 50.88976]"
23,AWD0001mhv,diary,8,7,1914-10-17 00:00:00 UTC,17 Oct 1914,Ypres,"[0.0, 0.0]","",diaryDate,17 Oct 1914,"{""day""=>[""17""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2788559,Proven,"[2.65721, 50.88976]"
1,AWD0001mkr,diary,9,6,1914-10-18 00:00:00 UTC,18 Oct 1914,Ypres,"[0.0, 0.0]","",diaryDate,18 Oct 1914,"{""day""=>[""18""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2788559,Proven,"[2.65721, 50.88976]"
2,AWD0001mkr,diary,9,3,1914-10-18 00:00:00 UTC,18 Oct 1914,Ypres,"[0.0, 0.0]","",activity,movement,{},2788559,Proven,"[2.65721, 50.88976]"
5,AWD0001mkr,diary,9,3,1914-10-18 00:00:00 UTC,18 Oct 1914,Menin,"[3.12245, 50.79722]","",place,Menin,"{""place""=>[""Menin""], ""location""=>[""true""], ""name""=>[""Menen""], ""lat""=>[""50.79722""], ""long""=>[""3.12245""], ""id""=>[""2791343""]}",2791343,Menen,"[3.12245, 50.79722]"
6,AWD0001mkr,diary,9,6,1914-10-18 00:00:00 UTC,18 Oct 1914,Menin,"[3.12245, 50.79722]","",activity,fire,{},2791343,Menen,"[3.12245, 50.79722]"
10,AWD0001mkr,diary,9,2,1914-10-18 00:00:00 UTC,18 Oct 1914,Menin,"[3.12245, 50.79722]","",place,"Ghent, gent","{""place""=>[""Ghent"", ""gent""], ""location""=>[""true"", ""false""], ""name""=>["""", ""Gent""], ""lat""=>["""", ""51.05""], ""long""=>["""", ""3.71667""], ""id""=>["""", ""2797656""]}",2791343,Menen,"[3.12245, 50.79722]"
11,AWD0001mkr,diary,9,6,1914-10-19 00:00:00 UTC,19 Oct 1914,Menin,"[3.12245, 50.79722]","",diaryDate,19 Oct 1914,"{""day""=>[""19""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2791343,Menen,"[3.12245, 50.79722]"
13,AWD0001mkr,diary,9,2,1914-10-19 00:00:00 UTC,19 Oct 1914,Menin,"[3.12245, 50.79722]","",activity,movement,{},2791343,Menen,"[3.12245, 50.79722]"
14,AWD0001mkr,diary,9,2,1914-10-19 00:00:00 UTC,19 Oct 1914,Menin,"[3.12245, 50.79722]","",place,"Gheluwe, Belgium, Ghelune, Belgium","{""place""=>[""Gheluwe, Belgium"", ""Ghelune, Belgium""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2791343,Menen,"[3.12245, 50.79722]"
15,AWD0001mkr,diary,9,2,1914-10-19 00:00:00 UTC,19 Oct 1914,Menin,"[3.12245, 50.79722]","",place,"Kleytoek (?), Belgium, Kleytoek, Belgium","{""place""=>[""Kleytoek (?), Belgium"", ""Kleytoek, Belgium""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2791343,Menen,"[3.12245, 50.79722]"
16,AWD0001mkr,diary,9,3,1914-10-19 00:00:00 UTC,19 Oct 1914,Menin,"[3.12245, 50.79722]","",place,Ghelune,"{""place""=>[""Ghelune""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2791343,Menen,"[3.12245, 50.79722]"
17,AWD0001mkr,diary,9,2,1914-10-19 00:00:00 UTC,19 Oct 1914,Menin,"[3.12245, 50.79722]","",place,Kleytoek,"{""place""=>[""Kleytoek""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2791343,Menen,"[3.12245, 50.79722]"
18,AWD0001mkr,diary,9,3,1914-10-19 00:00:00 UTC,19 Oct 1914,Menin,"[3.12245, 50.79722]","",activity,attack,{},2791343,Menen,"[3.12245, 50.79722]"
20,AWD0001mkr,diary,9,3,1914-10-19 00:00:00 UTC,19 Oct 1914,Poezelhoek,"[0.0, 0.0]","",place,Poezelhoek,"{""place""=>[""Poezelhoek""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2788815,Poezelhoek,"[3.00322, 50.84242]"
21,AWD0001mkr,diary,9,2,1914-10-19 00:00:00 UTC,19 Oct 1914,Poezelhoek,"[0.0, 0.0]","",person,"Lieutenant  Osborne, GOBORNE","{""first""=>[""""], ""surname""=>[""Osborne"", ""GOBORNE""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""22nd Inf. Bde, Cable Det."", """"]}",2788815,Poezelhoek,"[3.00322, 50.84242]"
23,AWD0001mkr,diary,9,4,1914-10-19 00:00:00 UTC,19 Oct 1914,Poezelhoek,"[0.0, 0.0]","",activity,attack,{},2788815,Poezelhoek,"[3.00322, 50.84242]"
25,AWD0001mkr,diary,9,2,1914-10-19 00:00:00 UTC,19 Oct 1914,Poezelhoek,"[0.0, 0.0]","",place,"Kleythoek, kleythoek","{""place""=>[""Kleythoek"", ""kleythoek""], ""location""=>[""true"", ""false""], ""name""=>["""", ""Klijthoek""], ""lat""=>["""", ""50.81667""], ""long""=>["""", ""3.11667""], ""id""=>["""", ""2794267""]}",2788815,Poezelhoek,"[3.00322, 50.84242]"
26,AWD0001mkr,diary,9,3,1914-10-19 00:00:00 UTC,19 Oct 1914,Poezelhoek,"[0.0, 0.0]","",activity,fire,{},2788815,Poezelhoek,"[3.00322, 50.84242]"
27,AWD0001mkr,diary,9,2,1914-10-19 00:00:00 UTC,19 Oct 1914,Poezelhoek,"[0.0, 0.0]","",activity,enemy_activity,{},2788815,Poezelhoek,"[3.00322, 50.84242]"
28,AWD0001mkr,diary,9,6,1914-10-19 00:00:00 UTC,19 Oct 1914,Poezelhoek,"[0.0, 0.0]","",person,General  Lawford,"{""first""=>[""""], ""surname""=>[""Lawford""], ""rank""=>[""General""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2788815,Poezelhoek,"[3.00322, 50.84242]"
29,AWD0001mkr,diary,9,2,1914-10-19 00:00:00 UTC,19 Oct 1914,Poezelhoek,"[0.0, 0.0]","",activity,withdraw,{},2788815,Poezelhoek,"[3.00322, 50.84242]"
31,AWD0001mkr,diary,9,5,1914-10-19 00:00:00 UTC,19 Oct 1914,Poezelhoek,"[0.0, 0.0]","",person,Lieutenant  Osborne,"{""first""=>[""""], ""surname""=>[""Osborne""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2788815,Poezelhoek,"[3.00322, 50.84242]"
32,AWD0001mkr,diary,9,2,1914-10-19 00:00:00 UTC,19 Oct 1914,Poezelhoek,"[0.0, 0.0]","",activity,fire,{},2788815,Poezelhoek,"[3.00322, 50.84242]"
5,AWD0001mnn,diary,10,2,1914-10-19 00:00:00 UTC,19 Oct 1914,Poezelhoek,"[0.0, 0.0]","",place,"zonnebeke, Zonnebeke","{""place""=>[""zonnebeke"", ""Zonnebeke""], ""location""=>[""false""], ""name""=>[""Zonnebeke""], ""lat""=>[""50.8726""], ""long""=>[""2.98725""], ""id""=>[""2783184""]}",2788815,Poezelhoek,"[3.00322, 50.84242]"
9,AWD0001mnn,diary,10,3,1914-10-19 00:00:00 UTC,19 Oct 1914,Poezelhoek,"[0.0, 0.0]","",person,"Corporal  Lang, Lency, LONG","{""first""=>[""""], ""surname""=>[""Lang"", ""Lency"", ""LONG""], ""rank""=>[""Corporal""], ""number""=>[""""], ""reason""=>[""commander"", ""casualty_non"", ""casualty_kia""], ""unit""=>[""""]}",2788815,Poezelhoek,"[3.00322, 50.84242]"
10,AWD0001mnn,diary,10,6,1914-10-20 00:00:00 UTC,20 Oct 1914,Poezelhoek,"[0.0, 0.0]","",diaryDate,20 Oct 1914,"{""day""=>[""20""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2788815,Poezelhoek,"[3.00322, 50.84242]"
13,AWD0001mnn,diary,10,2,1914-10-20 00:00:00 UTC,20 Oct 1914,Poezelhoek,"[0.0, 0.0]","",activity,reconnoitered,{},2788815,Poezelhoek,"[3.00322, 50.84242]"
