Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0002fvv,diary,389,9,1918-01-01 00:00:00 UTC,1 Jan 1918,"","[0.0, 0.0]","",diaryDate,1 Jan 1918,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0002fvv,diary,389,5,1918-01-01 00:00:00 UTC,1 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",place,monchy le preux,"{""place""=>[""monchy le preux""], ""location""=>[""true""], ""name""=>[""Monchy-le-Preux""], ""lat""=>[""50.27053""], ""long""=>[""2.89318""], ""id""=>[""2993391""]}",2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
3,AWD0002fvv,diary,389,2,1918-01-01 00:00:00 UTC,1 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",weather,cold,{},2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
4,AWD0002fvv,diary,389,3,1918-01-01 00:00:00 UTC,1 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",activity,enemy_activity,{},2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
6,AWD0002fvv,diary,389,2,1918-01-01 00:00:00 UTC,1 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",activity,line,{},2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
9,AWD0002fvv,diary,389,8,1918-01-02 00:00:00 UTC,2 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",diaryDate,2 Jan 1918,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
11,AWD0002fvv,diary,389,5,1918-01-02 00:00:00 UTC,2 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",activity,fire,{},2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
12,AWD0002fvv,diary,389,2,1918-01-02 00:00:00 UTC,2 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",activity,quiet,{},2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
13,AWD0002fvv,diary,389,9,1918-01-03 00:00:00 UTC,3 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",diaryDate,3 Jan 1918,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
15,AWD0002fvv,diary,389,8,1918-01-03 00:00:00 UTC,3 Jan 1918,Arras,"[2.78186, 50.29301]","",place,Arras,"{""place""=>[""Arras""], ""location""=>[""true""], ""name""=>[""Arras""], ""lat""=>[""50.29301""], ""long""=>[""2.78186""], ""id""=>[""3036784""]}",2967451,Warlus,"[2.66872, 50.27482]"
16,AWD0002fvv,diary,389,2,1918-01-03 00:00:00 UTC,3 Jan 1918,Arras,"[2.78186, 50.29301]","",activity,movement,{},2967451,Warlus,"[2.66872, 50.27482]"
17,AWD0002fvv,diary,389,6,1918-01-03 00:00:00 UTC,3 Jan 1918,Arras,"[2.78186, 50.29301]","",unit,3/10th Middlesex Regiment,"{""name""=>[""3/10th Middlesex Regiment""], ""context""=>[""relieved_by""]}",2967451,Warlus,"[2.66872, 50.27482]"
18,AWD0002fvv,diary,389,3,1918-01-03 00:00:00 UTC,3 Jan 1918,Arras,"[2.78186, 50.29301]","",place,Arras,"{""place""=>[""Arras""], ""location""=>[""false""], ""name""=>[""Arras""], ""lat""=>[""50.29301""], ""long""=>[""2.78186""], ""id""=>[""3036784""]}",2967451,Warlus,"[2.66872, 50.27482]"
20,AWD0002fvv,diary,389,8,1918-01-04 00:00:00 UTC,4 Jan 1918,Arras,"[2.78186, 50.29301]","",diaryDate,4 Jan 1918,"{""day""=>[""4""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2967451,Warlus,"[2.66872, 50.27482]"
25,AWD0002fvv,diary,389,8,1918-01-04 00:00:00 UTC,4 Jan 1918,Arras,"[2.78186, 50.29301]","",activity,working,{},2967451,Warlus,"[2.66872, 50.27482]"
26,AWD0002fvv,diary,389,3,1918-01-04 00:00:00 UTC,4 Jan 1918,Arras,"[2.78186, 50.29301]","",casualties,sick: 4,{},2967451,Warlus,"[2.66872, 50.27482]"
27,AWD0002fvv,diary,389,5,1918-01-04 00:00:00 UTC,4 Jan 1918,Arras,"[2.78186, 50.29301]","",casualties,wounded: 4,{},2967451,Warlus,"[2.66872, 50.27482]"
28,AWD0002fvv,diary,389,7,1918-01-05 00:00:00 UTC,5 Jan 1918,Arras,"[2.78186, 50.29301]","",diaryDate,5 Jan 1918,"{""day""=>[""5""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2967451,Warlus,"[2.66872, 50.27482]"
29,AWD0002fvv,diary,389,3,1918-01-05 00:00:00 UTC,5 Jan 1918,Arras,"[2.78186, 50.29301]","",activity,resting,{},2967451,Warlus,"[2.66872, 50.27482]"
30,AWD0002fvv,diary,389,11,1918-01-05 00:00:00 UTC,5 Jan 1918,Arras,"[2.78186, 50.29301]","",domestic,sport,{},2967451,Warlus,"[2.66872, 50.27482]"
32,AWD0002fvv,diary,389,6,1918-01-05 00:00:00 UTC,5 Jan 1918,Arras,"[2.78186, 50.29301]","",domestic,other,{},2967451,Warlus,"[2.66872, 50.27482]"
33,AWD0002fvv,diary,389,8,1918-01-06 00:00:00 UTC,6 Jan 1918,Arras,"[2.78186, 50.29301]","",diaryDate,6 Jan 1918,"{""day""=>[""6""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2967451,Warlus,"[2.66872, 50.27482]"
34,AWD0002fvv,diary,389,3,1918-01-06 00:00:00 UTC,6 Jan 1918,Arras,"[2.78186, 50.29301]","",activity,training,{},2967451,Warlus,"[2.66872, 50.27482]"
35,AWD0002fvv,diary,389,5,1918-01-06 00:00:00 UTC,6 Jan 1918,Arras,"[2.78186, 50.29301]","",domestic,hygiene,{},2967451,Warlus,"[2.66872, 50.27482]"
37,AWD0002fvv,diary,389,4,1918-01-06 00:00:00 UTC,6 Jan 1918,Arras,"[2.78186, 50.29301]","",domestic,sport,{},2967451,Warlus,"[2.66872, 50.27482]"
39,AWD0002fvv,diary,389,2,1918-01-06 00:00:00 UTC,6 Jan 1918,Arras,"[2.78186, 50.29301]","",domestic,other,{},2967451,Warlus,"[2.66872, 50.27482]"
40,AWD0002fvv,diary,389,7,1918-01-07 00:00:00 UTC,7 Jan 1918,Arras,"[2.78186, 50.29301]","",diaryDate,7 Jan 1918,"{""day""=>[""7""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2967451,Warlus,"[2.66872, 50.27482]"
41,AWD0002fvv,diary,389,2,1918-01-07 00:00:00 UTC,7 Jan 1918,Arras,"[2.78186, 50.29301]","",place,Wilderness Camp,"{""place""=>[""Wilderness Camp""], ""location""=>[""false""], ""name""=>["""", ""Arras""], ""lat""=>["""", ""50.29301""], ""long""=>["""", ""2.78186""], ""id""=>["""", ""3036784""]}",2967451,Warlus,"[2.66872, 50.27482]"
43,AWD0002fvv,diary,389,6,1918-01-07 00:00:00 UTC,7 Jan 1918,Arras,"[2.78186, 50.29301]","",unit,1st Somerset Light Infantry,"{""name""=>[""1st Somerset Light Infantry""], ""context""=>[""relieved""]}",2967451,Warlus,"[2.66872, 50.27482]"
45,AWD0002fvv,diary,389,8,1918-01-08 00:00:00 UTC,8 Jan 1918,Arras,"[2.78186, 50.29301]","",diaryDate,8 Jan 1918,"{""day""=>[""8""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2967451,Warlus,"[2.66872, 50.27482]"
46,AWD0002fvv,diary,389,7,1918-01-08 00:00:00 UTC,8 Jan 1918,Arras,"[2.78186, 50.29301]","",activity,repair,{},2967451,Warlus,"[2.66872, 50.27482]"
47,AWD0002fvv,diary,389,7,1918-01-08 00:00:00 UTC,8 Jan 1918,Arras,"[2.78186, 50.29301]","",weather,cold,{},2967451,Warlus,"[2.66872, 50.27482]"
50,AWD0002fvv,diary,389,8,1918-01-10 00:00:00 UTC,10 Jan 1918,Arras,"[2.78186, 50.29301]","",diaryDate,10 Jan 1918,"{""day""=>[""10""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2967451,Warlus,"[2.66872, 50.27482]"
51,AWD0002fvv,diary,389,2,1918-01-10 00:00:00 UTC,10 Jan 1918,Arras,"[2.78186, 50.29301]","",activity,working,{},2967451,Warlus,"[2.66872, 50.27482]"
52,AWD0002fvv,diary,389,5,1918-01-10 00:00:00 UTC,10 Jan 1918,"Arras, ARRAS","[2.78186, 50.29301]","",place,"Arras, ARRAS","{""place""=>[""Arras"", ""ARRAS""], ""location""=>[""true""], ""name""=>[""Arras""], ""lat""=>[""50.29301""], ""long""=>[""2.78186""], ""id""=>[""3036784""]}",3036784,Arras,"[2.78186, 50.29301]"
53,AWD0002fvv,diary,389,9,1918-01-11 00:00:00 UTC,11 Jan 1918,"Arras, ARRAS","[2.78186, 50.29301]","",diaryDate,11 Jan 1918,"{""day""=>[""11""], ""month""=>[""Jan""], ""year""=>[""1918""]}",3036784,Arras,"[2.78186, 50.29301]"
55,AWD0002fvv,diary,389,6,1918-01-11 00:00:00 UTC,11 Jan 1918,"Arras, ARRAS","[2.78186, 50.29301]","",unit,1st King's Own Regiment,"{""name""=>[""1st King's Own Regiment""], ""context""=>[""relieved""]}",3036784,Arras,"[2.78186, 50.29301]"
58,AWD0002fvv,diary,389,2,1918-01-11 00:00:00 UTC,11 Jan 1918,"Arras, ARRAS","[2.78186, 50.29301]","",place,Brown Line,"{""place""=>[""Brown Line""], ""location""=>[""false""], ""name""=>[""Arras"", """"], ""lat""=>[""50.29301"", """"], ""long""=>[""2.78186"", """"], ""id""=>[""3036784"", """"]}",3036784,Arras,"[2.78186, 50.29301]"
60,AWD0002fvv,diary,389,8,1918-01-12 00:00:00 UTC,12 Jan 1918,"Arras, ARRAS","[2.78186, 50.29301]","",diaryDate,12 Jan 1918,"{""day""=>[""12""], ""month""=>[""Jan""], ""year""=>[""1918""]}",3036784,Arras,"[2.78186, 50.29301]"
62,AWD0002fvv,diary,389,7,1918-01-12 00:00:00 UTC,12 Jan 1918,"Arras, ARRAS","[2.78186, 50.29301]","",activity,working,{},3036784,Arras,"[2.78186, 50.29301]"
63,AWD0002fvv,diary,389,7,1918-01-12 00:00:00 UTC,12 Jan 1918,"Arras, ARRAS","[2.78186, 50.29301]","",casualties,wounded: 2,{},3036784,Arras,"[2.78186, 50.29301]"
64,AWD0002fvv,diary,389,2,1918-01-14 00:00:00 UTC,14 Jan 1918,"Arras, ARRAS","[2.78186, 50.29301]","",diaryDate,14 Jan 1918,"{""day""=>[""14""], ""month""=>[""Jan""], ""year""=>[""1918""]}",3036784,Arras,"[2.78186, 50.29301]"
65,AWD0002fvv,diary,389,3,1918-01-14 00:00:00 UTC,14 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",place,monchy le preux,"{""place""=>[""monchy le preux""], ""location""=>[""true""], ""name""=>[""Monchy-le-Preux""], ""lat""=>[""50.27053""], ""long""=>[""2.89318""], ""id""=>[""2993391""]}",2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
66,AWD0002fvv,diary,389,8,1918-01-15 00:00:00 UTC,15 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",diaryDate,15 Jan 1918,"{""day""=>[""15""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
67,AWD0002fvv,diary,389,5,1918-01-15 00:00:00 UTC,15 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",unit,1st East Lancashire Regiment,"{""name""=>[""1st East Lancashire Regiment""], ""context""=>[""relieved""]}",2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
70,AWD0002fvv,diary,389,2,1918-01-15 00:00:00 UTC,15 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",activity,support,{},2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
72,AWD0002fvv,diary,389,2,1918-01-15 00:00:00 UTC,15 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",unit,"""B"" Company, ""D"" Company","{""name""=>[""\""B\"" Company"", ""\""D\"" Company""], ""context""=>[""right"", ""left""]}",2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
74,AWD0002fvv,diary,389,2,1918-01-15 00:00:00 UTC,15 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",activity,reserve,{},2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
75,AWD0002fvv,diary,389,8,1918-01-15 00:00:00 UTC,15 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",casualties,wounded: 1,{},2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
1,AWD0002fwz,diary,390,8,1918-01-16 00:00:00 UTC,16 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",diaryDate,16 Jan 1918,"{""day""=>[""16""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
2,AWD0002fwz,diary,390,3,1918-01-16 00:00:00 UTC,16 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",weather,cold,{},2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
3,AWD0002fwz,diary,390,8,1918-01-16 00:00:00 UTC,16 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",weather,rain,{},2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
4,AWD0002fwz,diary,390,3,1918-01-16 00:00:00 UTC,16 Jan 1918,Monchy,"[1.66667, 49.88333]","",place,Monchy,"{""place""=>[""Monchy""], ""location""=>[""true""], ""name""=>[""Monchy""], ""lat""=>[""49.88333""], ""long""=>[""1.66667""], ""id""=>[""2993397""]}",2993397,Monchy,"[1.66667, 49.88333]"
5,AWD0002fwz,diary,390,3,1918-01-16 00:00:00 UTC,16 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",place,monchy le preux,"{""place""=>[""monchy le preux""], ""location""=>[""true""], ""name""=>[""Monchy-le-Preux""], ""lat""=>[""50.27053""], ""long""=>[""2.89318""], ""id""=>[""2993391""]}",2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
6,AWD0002fwz,diary,390,2,1918-01-16 00:00:00 UTC,16 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",domestic,rations,{},2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
7,AWD0002fwz,diary,390,2,1918-01-16 00:00:00 UTC,16 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",domestic,other,{},2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
9,AWD0002fwz,diary,390,2,1918-01-16 00:00:00 UTC,16 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",domestic,uniform,{},2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
10,AWD0002fwz,diary,390,8,1918-01-16 00:00:00 UTC,16 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",casualties,wounded: 1,{},2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
11,AWD0002fwz,diary,390,8,1918-01-17 00:00:00 UTC,17 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",diaryDate,17 Jan 1918,"{""day""=>[""17""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
13,AWD0002fwz,diary,390,4,1918-01-17 00:00:00 UTC,17 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",activity,support,{},2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
16,AWD0002fwz,diary,390,3,1918-01-17 00:00:00 UTC,17 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",casualties,"wounded: 1, sick: 12",{},2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
17,AWD0002fwz,diary,390,3,1918-01-17 00:00:00 UTC,17 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",casualties,wounded: 1,{},2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
21,AWD0002fwz,diary,390,8,1918-01-18 00:00:00 UTC,18 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",diaryDate,18 Jan 1918,"{""day""=>[""18""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
23,AWD0002fwz,diary,390,8,1918-01-18 00:00:00 UTC,18 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",casualties,wounded: 1,{},2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
24,AWD0002fwz,diary,390,8,1918-01-19 00:00:00 UTC,19 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",diaryDate,19 Jan 1918,"{""day""=>[""19""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
27,AWD0002fwz,diary,390,5,1918-01-19 00:00:00 UTC,19 Jan 1918,monchy le preux,"[2.89318, 50.27053]","",unit,1st East Lancashire Regiment,"{""name""=>[""1st East Lancashire Regiment""], ""context""=>[""relieved_by""]}",2993391,Monchy-le-Preux,"[2.89318, 50.27053]"
30,AWD0002fwz,diary,390,7,1918-01-19 00:00:00 UTC,19 Jan 1918,Monchy,"[1.66667, 49.88333]","",place,Monchy,"{""place""=>[""Monchy""], ""location""=>[""true""], ""name""=>[""Monchy""], ""lat""=>[""49.88333""], ""long""=>[""1.66667""], ""id""=>[""2993397""]}",2993397,Monchy,"[1.66667, 49.88333]"
32,AWD0002fwz,diary,390,2,1918-01-19 00:00:00 UTC,19 Jan 1918,Monchy,"[1.66667, 49.88333]","",place,monchy le preux,"{""place""=>[""monchy le preux""], ""location""=>[""true"", ""false""], ""name""=>[""Monchy-le-Preux""], ""lat""=>[""50.27053""], ""long""=>[""2.89318""], ""id""=>[""2993391""]}",2993397,Monchy,"[1.66667, 49.88333]"
33,AWD0002fwz,diary,390,8,1918-01-19 00:00:00 UTC,19 Jan 1918,Monchy,"[1.66667, 49.88333]","",casualties,wounded: 1,{},2993397,Monchy,"[1.66667, 49.88333]"
34,AWD0002fwz,diary,390,8,1918-01-20 00:00:00 UTC,20 Jan 1918,Monchy,"[1.66667, 49.88333]","",diaryDate,20 Jan 1918,"{""day""=>[""20""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2993397,Monchy,"[1.66667, 49.88333]"
35,AWD0002fwz,diary,390,2,1918-01-20 00:00:00 UTC,20 Jan 1918,Monchy,"[1.66667, 49.88333]","",activity,other,{},2993397,Monchy,"[1.66667, 49.88333]"
38,AWD0002fwz,diary,390,9,1918-01-21 00:00:00 UTC,21 Jan 1918,Monchy,"[1.66667, 49.88333]","",diaryDate,21 Jan 1918,"{""day""=>[""21""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2993397,Monchy,"[1.66667, 49.88333]"
39,AWD0002fwz,diary,390,8,1918-01-21 00:00:00 UTC,21 Jan 1918,Monchy,"[1.66667, 49.88333]","",activity,working,{},2993397,Monchy,"[1.66667, 49.88333]"
40,AWD0002fwz,diary,390,2,1918-01-22 00:00:00 UTC,22 Jan 1918,Monchy,"[1.66667, 49.88333]","",diaryDate,22 Jan 1918,"{""day""=>[""22""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2993397,Monchy,"[1.66667, 49.88333]"
41,AWD0002fwz,diary,390,8,1918-01-23 00:00:00 UTC,23 Jan 1918,Monchy,"[1.66667, 49.88333]","",diaryDate,23 Jan 1918,"{""day""=>[""23""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2993397,Monchy,"[1.66667, 49.88333]"
42,AWD0002fwz,diary,390,6,1918-01-23 00:00:00 UTC,23 Jan 1918,Monchy,"[1.66667, 49.88333]","",unit,1st East Lancashire Regiment,"{""name""=>[""1st East Lancashire Regiment""], ""context""=>[""relieved""]}",2993397,Monchy,"[1.66667, 49.88333]"
45,AWD0002fwz,diary,390,2,1918-01-23 00:00:00 UTC,23 Jan 1918,Monchy,"[1.66667, 49.88333]","",activity,line,{},2993397,Monchy,"[1.66667, 49.88333]"
46,AWD0002fwz,diary,390,2,1918-01-23 00:00:00 UTC,23 Jan 1918,Monchy,"[1.66667, 49.88333]","",activity,reserve,{},2993397,Monchy,"[1.66667, 49.88333]"
47,AWD0002fwz,diary,390,8,1918-01-24 00:00:00 UTC,24 Jan 1918,Monchy,"[1.66667, 49.88333]","",diaryDate,24 Jan 1918,"{""day""=>[""24""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2993397,Monchy,"[1.66667, 49.88333]"
48,AWD0002fwz,diary,390,3,1918-01-24 00:00:00 UTC,24 Jan 1918,Monchy,"[1.66667, 49.88333]","",place,Monchy,"{""place""=>[""Monchy""], ""location""=>[""true""], ""name""=>[""Monchy""], ""lat""=>[""49.88333""], ""long""=>[""1.66667""], ""id""=>[""2993397""]}",2993397,Monchy,"[1.66667, 49.88333]"
49,AWD0002fwz,diary,390,2,1918-01-24 00:00:00 UTC,24 Jan 1918,Monchy,"[1.66667, 49.88333]","",place,monchy le preux,"{""place""=>[""monchy le preux""], ""location""=>[""true"", ""false""], ""name""=>[""Monchy-le-Preux""], ""lat""=>[""50.27053""], ""long""=>[""2.89318""], ""id""=>[""2993391""]}",2993397,Monchy,"[1.66667, 49.88333]"
51,AWD0002fwz,diary,390,2,1918-01-24 00:00:00 UTC,24 Jan 1918,Monchy,"[1.66667, 49.88333]","",weather,overcast,{},2993397,Monchy,"[1.66667, 49.88333]"
52,AWD0002fwz,diary,390,3,1918-01-24 00:00:00 UTC,24 Jan 1918,Monchy,"[1.66667, 49.88333]","",weather,fog,{},2993397,Monchy,"[1.66667, 49.88333]"
53,AWD0002fwz,diary,390,4,1918-01-24 00:00:00 UTC,24 Jan 1918,Monchy,"[1.66667, 49.88333]","",weather,cold,{},2993397,Monchy,"[1.66667, 49.88333]"
54,AWD0002fwz,diary,390,3,1918-01-24 00:00:00 UTC,24 Jan 1918,Monchy,"[1.66667, 49.88333]","",activity,reconnoitered,{},2993397,Monchy,"[1.66667, 49.88333]"
55,AWD0002fwz,diary,390,4,1918-01-24 00:00:00 UTC,24 Jan 1918,Monchy,"[1.66667, 49.88333]","",casualties,wounded: 1,{},2993397,Monchy,"[1.66667, 49.88333]"
56,AWD0002fwz,diary,390,4,1918-01-24 00:00:00 UTC,24 Jan 1918,Monchy,"[1.66667, 49.88333]","",casualties,wounded: 3,{},2993397,Monchy,"[1.66667, 49.88333]"
57,AWD0002fwz,diary,390,3,1918-01-24 00:00:00 UTC,24 Jan 1918,Monchy,"[1.66667, 49.88333]","",casualties,wounded: 2,{},2993397,Monchy,"[1.66667, 49.88333]"
58,AWD0002fwz,diary,390,2,1918-01-26 00:00:00 UTC,26 Jan 1918,Monchy,"[1.66667, 49.88333]","",diaryDate,26 Jan 1918,"{""day""=>[""26""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2993397,Monchy,"[1.66667, 49.88333]"
60,AWD0002fwz,diary,390,8,1918-01-27 00:00:00 UTC,27 Jan 1918,Monchy,"[1.66667, 49.88333]","",diaryDate,27 Jan 1918,"{""day""=>[""27""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2993397,Monchy,"[1.66667, 49.88333]"
62,AWD0002fwz,diary,390,5,1918-01-27 00:00:00 UTC,27 Jan 1918,Monchy,"[1.66667, 49.88333]","",unit,3/10th Middlesex Regiment,"{""name""=>[""3/10th Middlesex Regiment""], ""context""=>[""relieved_by""]}",2993397,Monchy,"[1.66667, 49.88333]"
64,AWD0002fwz,diary,390,11,1918-01-27 00:00:00 UTC,27 Jan 1918,Arras,"[2.78186, 50.29301]","",place,Arras,"{""place""=>[""Arras""], ""location""=>[""true""], ""name""=>[""Arras""], ""lat""=>[""50.29301""], ""long""=>[""2.78186""], ""id""=>[""3036784""]}",2967451,Warlus,"[2.66872, 50.27482]"
65,AWD0002fwz,diary,390,2,1918-01-27 00:00:00 UTC,27 Jan 1918,Arras,"[2.78186, 50.29301]","",activity,movement,{},2967451,Warlus,"[2.66872, 50.27482]"
66,AWD0002fwz,diary,390,3,1918-01-27 00:00:00 UTC,27 Jan 1918,Arras,"[2.78186, 50.29301]","",place,Feuchy Chapel,"{""place""=>[""Feuchy Chapel""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2967451,Warlus,"[2.66872, 50.27482]"
1,AWD0002fxp,diary,391,8,1918-01-28 00:00:00 UTC,28 Jan 1918,Arras,"[2.78186, 50.29301]","",diaryDate,28 Jan 1918,"{""day""=>[""28""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2967451,Warlus,"[2.66872, 50.27482]"
3,AWD0002fxp,diary,391,7,1918-01-28 00:00:00 UTC,28 Jan 1918,arras,"[2.78186, 50.29301]","",place,arras,"{""place""=>[""arras""], ""location""=>[""true""], ""name""=>[""Arras""], ""lat""=>[""50.29301""], ""long""=>[""2.78186""], ""id""=>[""3036784""]}",2967451,Warlus,"[2.66872, 50.27482]"
5,AWD0002fxp,diary,391,3,1918-01-28 00:00:00 UTC,28 Jan 1918,arras,"[2.78186, 50.29301]","",domestic,hygiene,{},2967451,Warlus,"[2.66872, 50.27482]"
7,AWD0002fxp,diary,391,6,1918-01-29 00:00:00 UTC,29 Jan 1918,arras,"[2.78186, 50.29301]","",diaryDate,29 Jan 1918,"{""day""=>[""29""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2967451,Warlus,"[2.66872, 50.27482]"
8,AWD0002fxp,diary,391,6,1918-01-29 00:00:00 UTC,29 Jan 1918,arras,"[2.78186, 50.29301]","",domestic,parades,{},2967451,Warlus,"[2.66872, 50.27482]"
10,AWD0002fxp,diary,391,7,1918-01-30 00:00:00 UTC,30 Jan 1918,arras,"[2.78186, 50.29301]","",diaryDate,30 Jan 1918,"{""day""=>[""30""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2967451,Warlus,"[2.66872, 50.27482]"
12,AWD0002fxp,diary,391,4,1918-01-30 00:00:00 UTC,30 Jan 1918,arras,"[2.78186, 50.29301]","",unit,1st East Lancashire Regiment,"{""name""=>[""1st East Lancashire Regiment""], ""context""=>[""relieved""]}",2967451,Warlus,"[2.66872, 50.27482]"
15,AWD0002fxp,diary,391,3,1918-01-30 00:00:00 UTC,30 Jan 1918,arras,"[2.78186, 50.29301]","",activity,repair,{},2967451,Warlus,"[2.66872, 50.27482]"
17,AWD0002fxp,diary,391,3,1918-01-30 00:00:00 UTC,30 Jan 1918,"Arras, ARRAS, arras","[2.78186, 50.29301]","",place,"Arras, ARRAS, arras","{""place""=>[""Arras"", ""ARRAS"", ""arras""], ""location""=>[""true""], ""name""=>[""Arras""], ""lat""=>[""50.29301""], ""long""=>[""2.78186""], ""id""=>[""3036784""]}",3036784,Arras,"[2.78186, 50.29301]"
18,AWD0002fxp,diary,391,7,1918-01-30 00:00:00 UTC,30 Jan 1918,"Arras, ARRAS, arras","[2.78186, 50.29301]","",casualties,wounded: 1,{},3036784,Arras,"[2.78186, 50.29301]"
19,AWD0002fxp,diary,391,7,1918-01-31 00:00:00 UTC,31 Jan 1918,"Arras, ARRAS, arras","[2.78186, 50.29301]","",diaryDate,31 Jan 1918,"{""day""=>[""31""], ""month""=>[""Jan""], ""year""=>[""1918""]}",3036784,Arras,"[2.78186, 50.29301]"
20,AWD0002fxp,diary,391,4,1918-01-31 00:00:00 UTC,31 Jan 1918,"Arras, ARRAS, arras","[2.78186, 50.29301]","",activity,repair,{},3036784,Arras,"[2.78186, 50.29301]"
